[epoch 1][86/2188] loss: 0.0000 PSNR_train: 22.9537 SSIM_train: 0.5608
[epoch 1][87/2188] loss: 0.0000 PSNR_train: 22.8218 SSIM_train: 0.5376
[epoch 1][88/2188] loss: 0.0000 PSNR_train: 22.6161 SSIM_train: 0.5252
[epoch 1][89/2188] loss: 0.0000 PSNR_train: 22.6482 SSIM_train: 0.5529
[epoch 1][90/2188] loss: 0.0000 PSNR_train: 22.8394 SSIM_train: 0.5643
[epoch 1][91/2188] loss: 0.0000 PSNR_train: 23.0086 SSIM_train: 0.5665
[epoch 1][92/2188] loss: 0.0000 PSNR_train: 22.8638 SSIM_train: 0.5682
[epoch 1][93/2188] loss: 0.0000 PSNR_train: 23.1130 SSIM_train: 0.5174
[epoch 1][94/2188] loss: 0.0000 PSNR_train: 23.3487 SSIM_train: 0.5423
[epoch 1][95/2188] loss: 0.0000 PSNR_train: 22.3547 SSIM_train: 0.5419
[epoch 1][96/2188] loss: 0.0000 PSNR_train: 23.5568 SSIM_train: 0.5752
[epoch 1][97/2188] loss: 0.0000 PSNR_train: 23.0636 SSIM_train: 0.5391
[epoch 1][98/2188] loss: 0.0000 PSNR_train: 23.6257 SSIM_train: 0.5784
[epoch 1][99/2188] loss: 0.0000 PSNR_train: 23.0893 SSIM_train: 0.5512
[epoch 1][100/2188] loss: 0.0000 PSNR_train: 23.3546 SSIM_train: 0.5601
[epoch 1][101/2188] loss: 0.0000 PSNR_train: 23.5569 SSIM_train: 0.5627
[epoch 1][102/2188] loss: 0.0000 PSNR_train: 22.5433 SSIM_train: 0.5270
[epoch 1][103/2188] loss: 0.0000 PSNR_train: 23.3416 SSIM_train: 0.5670
[epoch 1][104/2188] loss: 0.0000 PSNR_train: 23.0489 SSIM_train: 0.5402
[epoch 1][105/2188] loss: 0.0000 PSNR_train: 23.1252 SSIM_train: 0.5459
[epoch 1][106/2188] loss: 0.0000 PSNR_train: 23.8068 SSIM_train: 0.5836
[epoch 1][107/2188] loss: 0.0000 PSNR_train: 22.7008 SSIM_train: 0.5513
[epoch 1][108/2188] loss: 0.0000 PSNR_train: 23.0843 SSIM_train: 0.5731
[epoch 1][109/2188] loss: 0.0000 PSNR_train: 22.5618 SSIM_train: 0.5465
[epoch 1][110/2188] loss: 0.0000 PSNR_train: 22.8911 SSIM_train: 0.5462
[epoch 1][111/2188] loss: 0.0000 PSNR_train: 22.9053 SSIM_train: 0.5560
[epoch 1][112/2188] loss: 0.0000 PSNR_train: 23.0716 SSIM_train: 0.5578
[epoch 1][113/2188] loss: 0.0000 PSNR_train: 23.4432 SSIM_train: 0.5302
[epoch 1][114/2188] loss: 0.0000 PSNR_train: 23.6634 SSIM_train: 0.6018
[epoch 1][115/2188] loss: 0.0000 PSNR_train: 22.8676 SSIM_train: 0.5662
[epoch 1][116/2188] loss: 0.0000 PSNR_train: 23.3126 SSIM_train: 0.5800
[epoch 1][117/2188] loss: 0.0000 PSNR_train: 23.3993 SSIM_train: 0.6000
[epoch 1][118/2188] loss: 0.0000 PSNR_train: 23.3673 SSIM_train: 0.5822
[epoch 1][119/2188] loss: 0.0000 PSNR_train: 23.1127 SSIM_train: 0.5365
[epoch 1][120/2188] loss: 0.0000 PSNR_train: 23.1922 SSIM_train: 0.5481
[epoch 1][121/2188] loss: 0.0000 PSNR_train: 23.5969 SSIM_train: 0.5718
[epoch 1][122/2188] loss: 0.0000 PSNR_train: 23.2057 SSIM_train: 0.5661
[epoch 1][123/2188] loss: 0.0000 PSNR_train: 23.6582 SSIM_train: 0.5905
[epoch 1][124/2188] loss: 0.0000 PSNR_train: 23.5671 SSIM_train: 0.5632
[epoch 1][125/2188] loss: 0.0000 PSNR_train: 23.2938 SSIM_train: 0.5621
[epoch 1][126/2188] loss: 0.0000 PSNR_train: 23.4861 SSIM_train: 0.5633
[epoch 1][127/2188] loss: 0.0000 PSNR_train: 23.3818 SSIM_train: 0.5622
[epoch 1][128/2188] loss: 0.0000 PSNR_train: 23.9904 SSIM_train: 0.5820
[epoch 1][129/2188] loss: 0.0000 PSNR_train: 23.2610 SSIM_train: 0.5590
[epoch 1][130/2188] loss: 0.0000 PSNR_train: 23.4017 SSIM_train: 0.5673
[epoch 1][131/2188] loss: 0.0000 PSNR_train: 23.2654 SSIM_train: 0.5993
[epoch 1][132/2188] loss: 0.0000 PSNR_train: 24.2855 SSIM_train: 0.5955
[epoch 1][133/2188] loss: 0.0000 PSNR_train: 23.6278 SSIM_train: 0.5672
[epoch 1][134/2188] loss: 0.0000 PSNR_train: 23.9930 SSIM_train: 0.5900
[epoch 1][135/2188] loss: 0.0000 PSNR_train: 23.7472 SSIM_train: 0.5751
[epoch 1][136/2188] loss: 0.0000 PSNR_train: 23.6936 SSIM_train: 0.5899
[epoch 1][137/2188] loss: 0.0000 PSNR_train: 23.8067 SSIM_train: 0.5506
[epoch 1][138/2188] loss: 0.0000 PSNR_train: 23.3724 SSIM_train: 0.5542
[epoch 1][139/2188] loss: 0.0000 PSNR_train: 23.1578 SSIM_train: 0.5572
[epoch 1][140/2188] loss: 0.0000 PSNR_train: 23.1373 SSIM_train: 0.5451
[epoch 1][141/2188] loss: 0.0000 PSNR_train: 23.5511 SSIM_train: 0.5642
[epoch 1][142/2188] loss: 0.0000 PSNR_train: 23.5462 SSIM_train: 0.5924
[epoch 1][143/2188] loss: 0.0000 PSNR_train: 24.2794 SSIM_train: 0.5880
[epoch 1][144/2188] loss: 0.0000 PSNR_train: 23.7781 SSIM_train: 0.5954
[epoch 1][145/2188] loss: 0.0000 PSNR_train: 23.7548 SSIM_train: 0.5935
[epoch 1][146/2188] loss: 0.0000 PSNR_train: 23.5060 SSIM_train: 0.5669
[epoch 1][147/2188] loss: 0.0000 PSNR_train: 23.1758 SSIM_train: 0.5820
[epoch 1][148/2188] loss: 0.0000 PSNR_train: 23.9569 SSIM_train: 0.5883
[epoch 1][149/2188] loss: 0.0000 PSNR_train: 23.9023 SSIM_train: 0.5800
[epoch 1][150/2188] loss: 0.0000 PSNR_train: 23.8040 SSIM_train: 0.5570
[epoch 1][151/2188] loss: 0.0000 PSNR_train: 23.5446 SSIM_train: 0.5839
[epoch 1][152/2188] loss: 0.0000 PSNR_train: 23.9481 SSIM_train: 0.5725
[epoch 1][153/2188] loss: 0.0000 PSNR_train: 23.8555 SSIM_train: 0.5853
[epoch 1][154/2188] loss: 0.0000 PSNR_train: 23.7181 SSIM_train: 0.5903
[epoch 1][155/2188] loss: 0.0000 PSNR_train: 23.9250 SSIM_train: 0.6062
[epoch 1][156/2188] loss: 0.0000 PSNR_train: 24.3250 SSIM_train: 0.5994
[epoch 1][157/2188] loss: 0.0000 PSNR_train: 24.1065 SSIM_train: 0.5990
[epoch 1][158/2188] loss: 0.0000 PSNR_train: 23.9029 SSIM_train: 0.5777
[epoch 1][159/2188] loss: 0.0000 PSNR_train: 23.5473 SSIM_train: 0.5942
[epoch 1][160/2188] loss: 0.0000 PSNR_train: 23.8090 SSIM_train: 0.5928
[epoch 1][161/2188] loss: 0.0000 PSNR_train: 24.7190 SSIM_train: 0.6224
[epoch 1][162/2188] loss: 0.0000 PSNR_train: 23.8499 SSIM_train: 0.5979
[epoch 1][163/2188] loss: 0.0000 PSNR_train: 23.1865 SSIM_train: 0.5475
[epoch 1][164/2188] loss: 0.0000 PSNR_train: 23.5588 SSIM_train: 0.5887
[epoch 1][165/2188] loss: 0.0000 PSNR_train: 24.4448 SSIM_train: 0.6033
[epoch 1][166/2188] loss: 0.0000 PSNR_train: 24.2004 SSIM_train: 0.6060
[epoch 1][167/2188] loss: 0.0000 PSNR_train: 23.5573 SSIM_train: 0.5809
[epoch 1][168/2188] loss: 0.0000 PSNR_train: 24.0209 SSIM_train: 0.6113
[epoch 1][169/2188] loss: 0.0000 PSNR_train: 23.7709 SSIM_train: 0.5882
[epoch 1][170/2188] loss: 0.0000 PSNR_train: 23.9380 SSIM_train: 0.5934
[epoch 1][171/2188] loss: 0.0000 PSNR_train: 24.3977 SSIM_train: 0.6047
[epoch 1][172/2188] loss: 0.0000 PSNR_train: 23.8934 SSIM_train: 0.5912
[epoch 1][173/2188] loss: 0.0000 PSNR_train: 23.9194 SSIM_train: 0.5915
[epoch 1][174/2188] loss: 0.0000 PSNR_train: 23.8305 SSIM_train: 0.5913
